Institute ID,Name,TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100),City,State,Score,Rank
IR-O-U-0446,Bharath Institute of Higher Education & ResearchMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)56.2023.1570.3164.2821.01,56.2,23.15,70.31,64.28,21.01,Chennai,Tamil Nadu,46.4,62
TLR (100),RPC (100),,,,,,,,,
56.2,23.15,,,,,,,,,
IR-O-U-0470,Periyar UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)53.0825.6367.9755.9132.65,53.08,25.63,67.97,55.91,32.65,Salem,Tamil Nadu,46.06,63
TLR (100),RPC (100),,,,,,,,,
53.08,25.63,,,,,,,,,
IR-O-U-0215,Bangalore UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)58.7017.3874.7357.0425.32,58.7,17.38,74.73,57.04,25.32,Bangalore,Karnataka,46.01,64
TLR (100),RPC (100),,,,,,,,,
58.7,17.38,,,,,,,,,
IR-O-U-0564,University of Petroleum and Energy StudiesMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)56.6919.4860.4865.0140.39,56.69,19.48,60.48,65.01,40.39,Dehradun,Uttarakhand,45.49,65
TLR (100),RPC (100),,,,,,,,,
56.69,19.48,,,,,,,,,
IR-O-U-0341,North Eastern Hill UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)56.7317.8077.7851.8023.41,56.73,17.8,77.78,51.8,23.41,Shillong,Meghalaya,45.44,66
TLR (100),RPC (100),,,,,,,,,
56.73,17.8,,,,,,,,,
IR-O-U-0037,Sri Venkateswara UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)49.2718.2779.8652.0436.38,49.27,18.27,79.86,52.04,36.38,Tirupati,Andhra Pradesh,45.07,67
TLR (100),RPC (100),,,,,,,,,
49.27,18.27,,,,,,,,,
IR-O-U-0369,Pondicherry UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)42.8428.8473.1659.6928.53,42.84,28.84,73.16,59.69,28.53,Puducherry,Pondicherry,44.95,68
TLR (100),RPC (100),,,,,,,,,
42.84,28.84,,,,,,,,,
IR-O-U-0251,"Calicut University, ThenhipalemMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)65.1117.0961.2058.5621.71",65.11,17.09,61.2,58.56,21.71,Malappuram,Kerala,44.93,69
TLR (100),RPC (100),,,,,,,,,
65.11,17.09,,,,,,,,,
IR-O-U-0370,Sri Balaji Vidyapeeth Mahatma Gandhi Medical College CampusMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)64.478.5860.4077.2630.00,64.47,8.58,60.4,77.26,30,Puducherry,Pondicherry,44.72,70
TLR (100),RPC (100),,,,,,,,,
64.47,8.58,,,,,,,,,
IR-O-U-0217,Christ UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)51.8310.8467.0468.6452.36,51.83,10.84,67.04,68.64,52.36,Bengaluru,Karnataka,44.31,71
TLR (100),RPC (100),,,,,,,,,
51.83,10.84,,,,,,,,,
IR-O-U-0249,Visvesvaraya Technological UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)58.9427.2861.1058.363.01,58.94,27.28,61.1,58.36,3.01,Belgaum,Karnataka,44.22,72
TLR (100),RPC (100),,,,,,,,,
58.94,27.28,,,,,,,,,
